Customerorder nummer,klantnr,AAR nummer,RR code laden,RR code lossen,Laden van,Laden tot,Lossen van,Lossen tot,Operator,Logistieke service,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,Lospartij,Postcode laden,Land laden,Postcode lossen,Plaats lossen,TIS code lossen,OldName,Collectiedagen,rc_large_scheduled,Uitvoeringsdagen,rc_large_pickup_min,rc_large_pickup_median,rc_large_pickup_q95,rc_large_pickup_max,DropOffTime_min,DropOffTime_median,DropOffTime_max,dropoff_date,order_number,Transporthulpmiddeltype,DropOffTime2,Order_ID,AdresID,lat_laden,lon_laden,laadtijd_t,lostijd_t,RCP_equiv_ordered,RCP_equiv_realised,Pakketten_realised,HBR,ColloData_Klant_Naam,Accountnummer,postal_code__c,house_number__c,total,NMG,ALM,AME,AMS,APE,ARD,BOR,BRE,AL,HER,DEN,DTD,DOR,ELT,GOE,HAL,HEN,HGV,KOL,LEE,NAM,NIE,OEV,OPM,RID,SAS,SNI,STT,SON,TIL,UTR,VEN,VIL,WVN,WZN,WIL,WML,ZWO,MECH,ASN,%WEST,%OOST,%ZUID,%BE,Vulgraad,Pakketten_NMG
C5423111636,618986,3337 NMG,4941SH3L,3316BZ2D,19:30:00,20:00:00,19:30:00,21:30:00,TransportBV,75,LEEN BAKKER DC,KARPERWEG,3,4941SH,RAAMSDONKSVEER,NL,DEPOT DORDRECHT,4941SH,NL,3316BZ,DORDRECHT,DDT-ZS,DOR,0,48,0,49.5,49.5,49.5,49.5,158,158,158,{'2022-05-23'},D108857807,{'PEU'},{'2022-05-23 20:33:00+02:00'},C5423111636,4941SH_KARPERWEG_3_RAAMSDONKSVEER_NL,51.7135544,4.8699681,156,162,48,48,534,618986,,,4941SH,3,325479,0.488206612,0.033615072,0.042279225,0.030342971,0.038426442,0.010590545,0.028444231,0.030822265,0.00955822,0.031661029,0.029163172,0.009862387,0.032767091,0.031743983,0.037237425,0.026563926,0.029826809,0.03630649,0.030094107,0.036831869,0.015143834,0.038712175,0.007355313,0.032693353,0.032094236,0.031826938,0.007834607,0.013429438,0.028278322,0.0302508,0.028932742,0.033181864,0.016572498,0.034057497,0.033596638,0.011659738,0.012553805,0.035688938,,,28.9,35.4,25.3,10.5,21.74,509
C5421366681,9076342,7358,7418CR10B,7333NR35D,19:15:00,19:45:00,19:15:00,21:00:00,TransportBV,75,BROCACEF/BENU DIRECT,ANTWERPENWEG,10,7418CR,DEVENTER,NL,DEPOT APELDOORN,7418CR,NL,7333NR,APELDOORN,AP-OAW,APE,0,40,0,37,37,37,37,157,157,157,{'2022-05-23'},D108857692,{'RCP'},{'2022-05-23 20:18:00+02:00'},C5421366681,7418CR_ANTWERPENWEG_10_DEVENTER_NL,52.2479783,6.1842505,155,160,40,37,1034,9076342,,,7418CR,10,141822,5.64E-05,0.03796308,0.036016979,0.024410881,0.046325676,1.41E-05,0.023226298,0.031673506,0.008475413,0.045028275,0.027315931,7.05E-05,0.04144632,0.037948978,0.04492956,0.023127582,0.038978438,0.050542229,0.020998153,0.039133562,0,0.056733088,9.87E-05,0.028359493,0.045310319,0.026215961,5.64E-05,0.000183328,0.049343543,0.031038908,0.025144195,0.043307808,5.64E-05,0.047637179,0.047030785,8.46E-05,0.000183328,0.021590444,,,30.3,38.6,31,0.1,27.94,0
C5348397490,618986,48126,4941SH3L,4824AP1D,16:15:00,16:45:00,16:15:00,17:45:00,TransportBV,75,LEEN BAKKER DC,KARPERWEG,3,4941SH,RAAMSDONKSVEER,NL,DEPOT BREDA,4941SH,NL,4824AP,BREDA,BD-SB,BRE,0,48,0,48,48,48,48,143,143,143,{'2022-05-23'},D108857808,{'RCP'},{'2022-05-23 16:55:00+02:00'},C5348397490,4941SH_KARPERWEG_3_RAAMSDONKSVEER_NL,51.7135544,4.8699681,143,147,48,48,534,618986,,,4941SH,3,325479,0.488206612,0.033615072,0.042279225,0.030342971,0.038426442,0.010590545,0.028444231,0.030822265,0.00955822,0.031661029,0.029163172,0.009862387,0.032767091,0.031743983,0.037237425,0.026563926,0.029826809,0.03630649,0.030094107,0.036831869,0.015143834,0.038712175,0.007355313,0.032693353,0.032094236,0.031826938,0.007834607,0.013429438,0.028278322,0.0302508,0.028932742,0.033181864,0.016572498,0.034057497,0.033596638,0.011659738,0.012553805,0.035688938,,,28.9,35.4,25.3,10.5,21.74,509
C5346000678,1028574,7335,7051HW11O,7333NR35D,22:15:00,22:45:00,22:15:00,23:45:00,TransportBV,75,ONE STOP MOBILE,LIREWEG,11,7051HW,VARSSEVELD,NL,DEPOT APELDOORN,7051HW,NL,7333NR,APELDOORN,AP-OAW,APE,0,5,0,3,3,3,3,172,172,172,{'2022-05-23'},D108855055,{'RCP'},{'2022-05-24 00:02:00+02:00'},C5346000678,7051HW_LIREWEG_11_VARSSEVELD_NL,51.9398776,6.4851135,167,171,5,3,117,1028574,,,7051HW,11,13804,0.000289771,0.01332947,0.039119096,0.022312373,0.058823529,0.016227181,0.014923211,0.026369168,0.003187482,0.043755433,0.018255578,0.011880614,0.029846421,0.022022602,0.033178789,0.026224283,0.061576355,0.046363373,0.061866126,0.03477253,0.013909012,0.019414662,0.02955665,0.015357867,0.012170385,0.026514054,0.005940307,0.034482759,0.029846421,0.024195885,0.029846421,0.041292379,0.018255578,0.021877717,0.017820921,0.008838018,0.009272675,0.057374674,,,19.4,41.5,24.3,14.8,38.85,0
C6160385324,10271449,52116,5215MP10B,5222AL4D,16:30:00,17:00:00,16:30:00,21:00:00,TransportBV,75,BVG FULFILMENT BV,DE GROTE BEER,10,5215MP,DEN BOSCH,NL,DEPOT DEN BOSCH,5215MP,NL,5222AL,DEN BOSCH,HT-KK,HER,0,3,0,2,2,2,2,147,147,147,{'2022-05-23'},D108857529,{'RCP'},{'2022-05-23 17:45:00+02:00'},C6160385324,5215MP_DE GROTE BEER_10_DEN BOSCH_NL,51.6879657,5.3555484,144,160,3,2,85,10271449,,,5215MP,10,12470,0.002806736,0.02085004,0.028869286,0.018444266,0.026463512,0.053728949,0.016038492,0.02606255,0.006014435,0.042902967,0.016439455,0.034883721,0.041299118,0.037289495,0.013231756,0.015236568,0.015236568,0.016038492,0.015236568,0.017241379,0.023656776,0.033680834,0.022854852,0.012429832,0.032477947,0.028067362,0.036086608,0.038893344,0.034081796,0.041299118,0.018444266,0.024057739,0.050922213,0.032477947,0.012830794,0.039294306,0.038492382,0.018444266,,,19.3,22.9,23.9,33.9,42.5,0
C6108920783,10167572,0064-MG,4206CJ30M,3433KE1S,21:30:00,22:00:00,21:30:00,23:00:00,TransportBV,75,MONTAPACKING [PLATFORM B.V.],WEIDE,30,4206CJ,GORINCHEM,NL,SKP NIEUWEGEIN-PELOTONSDOK,4206CJ,NL,3433KE,SKP,SKP-NIWG-P,SKP,0,5,0,2,2,2,2,169,169,169,{'2022-05-23'},D108857193,{'RCP'},{'2022-05-23 23:25:00+02:00'},C6108920783,4206CJ_WEIDE_30_GORINCHEM_NL,51.8498723,4.9855981,164,168,5,2,75,10167572,,,4206CJ,30,7230960,0.01448632,0.032359465,0.03429835,0.030282286,0.034421432,0.023527996,0.027318641,0.02861999,0.009619746,0.032555843,0.02747353,0.022564086,0.030275371,0.030347284,0.024850089,0.0279949,0.028185746,0.030184097,0.02542401,0.026470897,0.004215208,0.035866607,0.019348745,0.031373428,0.028184363,0.030751104,0.01978852,0.024451802,0.027196942,0.026757166,0.026535896,0.027732141,0.023493423,0.029694536,0.032034474,0.028516269,0.030817485,0.026468131,,,27.4,30.4,22.5,19.7,38.08,1
C6233834085,9876310,ZB 34083,4104BM2S,3439JG4D,17:00:00,21:00:00,17:00:00,21:00:00,Zelfbrenger,75,SAM INTERNATIONAL,OHMWEG,2,4104BM,CULEMBORG,NL,DEPOT NIEUWEGEIN,4104BM,NL,3439JG,NIEUWEGEIN,NIWG-MO,NIE,0,6,0,3,3,3,3,154,154,154,{'2022-05-23'},D109064358,{'RCP'},{'2022-05-23 19:36:00+02:00'},C6233834085,4104BM_OHMWEG_2_CULEMBORG_NL,51.9367969,5.2048443,160,160,6,3,236,9876310,,,4104BM,2,5016,0.407296651,0.026315789,0.035885167,0.037679426,0.026913876,0.043062201,0.022129187,0.022727273,0.006578947,0.044856459,0.032894737,0.025717703,0.022727273,0.041267943,0.020933014,0.024521531,0.019736842,0.023923445,0.020334928,0.01854067,0.005980861,0.028708134,0.027511962,0.022129187,0.027511962,0.026913876,0.030502392,0.027511962,0.031698565,0.032296651,0.023325359,0.020933014,0.032894737,0.027511962,0.031100478,0.032296651,0.034688995,0.019736842,,,26,26.1,21.8,26,132.75,162
C5861627423,10167572,3322,4751VK6M,3316BZ2D,21:00:00,21:30:00,21:00:00,23:00:00,TransportBV,75,MONTAPACKING [OUD GASTEL],WATERMOLEN,6,4751VK,OUD GASTEL,NL,DEPOT DORDRECHT,4751VK,NL,3316BZ,DORDRECHT,DDT-ZS,DOR,0,29,0,12,12,12,12,164,164,164,{'2022-05-23'},D108856612,{'RCP'},{'2022-05-23 22:00:00+02:00'},C5861627423,4751VK_WATERMOLEN_6_OUD GASTEL_NL,51.5810817,4.4550887,162,168,29,12,450,10167572,,,4751VK,6,723096,0.01448632,0.032359465,0.03429835,0.030282286,0.034421432,0.023527996,0.027318641,0.02861999,0.009619746,0.032555843,0.02747353,0.022564086,0.030275371,0.030347284,0.024850089,0.0279949,0.028185746,0.030184097,0.02542401,0.026470897,0.004215208,0.035866607,0.019348745,0.031373428,0.028184363,0.030751104,0.01978852,0.024451802,0.027196942,0.026757166,0.026535896,0.027732141,0.023493423,0.029694536,0.032034474,0.028516269,0.030817485,0.026468131,,,27.4,30.4,22.5,19.7,38.08,7
C6027794760,10388543,75011,7556MX15B,7554RR1D,21:30:00,22:00:00,21:30:00,22:45:00,TransportBV,75,Bintra,ZAAGSTRAAT,15,7556MX,HENGELO OV,NL,DEPOT HENGELO,7556MX,NL,7554RR,HENGELO,HGL-Z,HEN,0,4,0,4,4,4,4,165,165,165,{'2022-05-23'},D108857203,{'RCP'},{'2022-05-23 22:19:00+02:00'},C6027794760,7556MX_ZAAGSTRAAT_15_HENGELO OV_NL,52.2809382,6.8051033,164,167,4,4,160,10388543,,,7556MX,15,7352,0.005984766,0.030739935,0.041077258,0.018226333,0.035092492,0.020674646,0.02312296,0.028563656,0.010065288,0.040261153,0.0304679,0.024483134,0.029379761,0.027203482,0.025843308,0.027475517,0.024755169,0.035908596,0.018770403,0.031284004,0.003264418,0.031828074,0.020402612,0.034548422,0.019858542,0.03101197,0.021762786,0.025299238,0.031556039,0.025027203,0.027203482,0.025571273,0.030739935,0.02992383,0.032372144,0.035092492,0.031828074,0.019314472,,,26.1,29.6,22.9,21.4,40.21,1
C6057525216,618986,34116,4941SH3L,3433KE1S,16:00:00,20:00:00,16:00:00,21:00:00,TransportBV,75,LEEN BAKKER DC,KARPERWEG,3,4941SH,RAAMSDONKSVEER,NL,SKP NIEUWEGEIN-PELOTONSDOK,4941SH,NL,3433KE,SKP,SKP-NIWG-P,SKP,0,48,0,48,48,48,48,160,160,160,{'2022-05-23'},D108856911,{'RCP'},{'2022-05-23 21:10:00+02:00'},C6057525216,4941SH_KARPERWEG_3_RAAMSDONKSVEER_NL,51.7135544,4.8699681,156,160,48,48,534,618986,,,4941SH,3,325479,0.488206612,0.033615072,0.042279225,0.030342971,0.038426442,0.010590545,0.028444231,0.030822265,0.00955822,0.031661029,0.029163172,0.009862387,0.032767091,0.031743983,0.037237425,0.026563926,0.029826809,0.03630649,0.030094107,0.036831869,0.015143834,0.038712175,0.007355313,0.032693353,0.032094236,0.031826938,0.007834607,0.013429438,0.028278322,0.0302508,0.028932742,0.033181864,0.016572498,0.034057497,0.033596638,0.011659738,0.012553805,0.035688938,,,28.9,35.4,25.3,10.5,21.74,509
C6037553610,10213527,5902,6598MH1A,5928SC66D,22:30:00,23:00:00,22:30:00,0:30:00,TransportBV,75,ARVATO BENELUX IZ RITUALS,BREM,1,6598MH,HEIJEN,NL,DEPOT VENLO,6598MH,NL,5928SC,VENLO,VL-PO,VEN,0,12,0,5,5,5,5,171,171,171,{'2022-05-23'},D108855108,{'RCP'},{'2022-05-23 23:57:00+02:00'},C6037553610,6598MH_BREM_1_HEIJEN_NL,51.6690318,6.0017117,168,174,12,5,256,10213527,,,6598MH,1,306786,0,0.038958753,0.039604154,0.071737302,0.038769696,5.22E-05,0.033639084,0.030548982,0.011493354,0.032785068,0.039089137,0.000136903,0.032563416,0.038965272,0.026846075,0.048313808,0.037609278,0.026839556,0.030868423,0.024733854,0.000182538,0.048150828,7.17E-05,0.033189259,0.039877961,0.043144081,5.22E-05,0.00016298,0.034708233,0.031781111,0.032537339,0.028919181,0.000149942,0.037928719,0.03759624,0.000156461,9.78E-05,0.027739206,,,39.5,35.2,25.2,0.1,51.1,0
C9225360895,10167572,0054-MG,5165NL11M,3433KE1S,21:00:00,21:30:00,21:00:00,22:30:00,TransportBV,75,MONTAPACKING [WASPIK],HOOIWEG,11,5165NL,WASPIK,NL,SKP NIEUWEGEIN-PELOTONSDOK,5165NL,NL,3433KE,SKP,SKP-NIWG-P,SKP,0,5,0,6,6,6,6,163,163,163,{'2022-05-23'},D108857228,{'RCP'},{'2022-05-23 21:50:00+02:00'},C9225360895,5165NL_HOOIWEG_11_WASPIK_NL,51.7028002,4.9390813,162,166,5,5,188,10167572,,,5165NL,11,723096,0.01448632,0.032359465,0.03429835,0.030282286,0.034421432,0.023527996,0.027318641,0.02861999,0.009619746,0.032555843,0.02747353,0.022564086,0.030275371,0.030347284,0.024850089,0.0279949,0.028185746,0.030184097,0.02542401,0.026470897,0.004215208,0.035866607,0.019348745,0.031373428,0.028184363,0.030751104,0.01978852,0.024451802,0.027196942,0.026757166,0.026535896,0.027732141,0.023493423,0.029694536,0.032034474,0.028516269,0.030817485,0.026468131,,,27.4,30.4,22.5,19.7,38.08,3
C9290569199,10167572,0063-MG,4206CL16MO,3433KE1S,21:30:00,22:00:00,21:30:00,23:00:00,TransportBV,75,MONTAPACKING [GORINCHEM PAPLAND],PAPLAND,16,4206CL,GORINCHEM,NL,SKP NIEUWEGEIN-PELOTONSDOK,4206CL,NL,3433KE,SKP,SKP-NIWG-P,SKP,0,8,0,10,10,10,10,169,169,169,{'2022-05-23'},D108857200,{'RCP'},{'2022-05-23 23:25:00+02:00'},C9290569199,4206CL_PAPLAND_16_GORINCHEM_NL,51.8491928,4.984177,164,168,8,8,300,10167572,,,4206CL,16,723096,0.01448632,0.032359465,0.03429835,0.030282286,0.034421432,0.023527996,0.027318641,0.02861999,0.009619746,0.032555843,0.02747353,0.022564086,0.030275371,0.030347284,0.024850089,0.0279949,0.028185746,0.030184097,0.02542401,0.026470897,0.004215208,0.035866607,0.019348745,0.031373428,0.028184363,0.030751104,0.01978852,0.024451802,0.027196942,0.026757166,0.026535896,0.027732141,0.023493423,0.029694536,0.032034474,0.028516269,0.030817485,0.026468131,,,27.4,30.4,22.5,19.7,38.08,4
C8978362085,9247216,4470 XL,B9130KA1ZE,4462HB62D,18:30:00,19:30:00,18:30:00,21:00:00,TransportBV,90,KATOEN NATIE iz ZEEMAN [KALLO] [BE] WH21,OUDEDIJK,1,9130,KALLO - BEVEREN,BE,DEPOT GOES,9130,BE,4462HB,GOES,GS-CO,GOE,0,15,0,6,6,6,6,158,158,158,{'2022-05-23'},D108855145,{'RCP'},{'2022-05-23 20:30:00+02:00'},C8978362085,9130_OUDEDIJK_1_KALLO - BEVEREN_BE,51.27085055,4.281575201,154,160,15,6,158,9247216,,,9130,1,8082,0.002598367,0.026726058,0.027715912,0.026478594,0.027344717,0.029324425,0.032665182,0.020910666,0.014476615,0.03749072,0.02684979,0.023137837,0.027097253,0.027097253,0.023509032,0.02190052,0.01769364,0.027468448,0.02053947,0.022890374,0.034026231,0.034149963,0.014724078,0.020910666,0.024498886,0.024622618,0.023632764,0.048502846,0.028953229,0.023509032,0.02053947,0.026726058,0.053080921,0.029324425,0.025117545,0.038975501,0.027468448,0.019920812,,,23.5,25.2,22.1,29.3,26.39,0
C9124434034,9019524,5214,5462CG16E,5222AL4D,16:00:00,16:30:00,16:00:00,21:00:00,TransportBV,75,VAN EERD GOLF RETAIL [VEGHEL],RIJKSWEG,16,5462CG,VEGHEL,NL,DEPOT DEN BOSCH,5462CG,NL,5222AL,DEN BOSCH,HT-KK,HER,0,10,0,5,5,5,5,153,153,153,{'2022-05-23'},D108854543,{'RCP'},{'2022-05-23 19:22:00+02:00'},C9124434034,5462CG_RIJKSWEG_16_VEGHEL_NL,51.6119004,5.5267367,142,160,10,5,143,9019524,,,5462CG,16,4388,0.205104831,0.045806746,0.037830447,0.060164084,0.032588879,0.004785779,0.025068368,0.055606199,0.01071103,0.033956244,0.033500456,0.008204193,0.020054695,0.024156791,0.024384686,0.057429353,0.025524157,0.024840474,0.0198268,0.01230629,0.000227894,0.066089335,0.006608933,0.020966272,0.02620784,0.052187785,0.015496809,0.00911577,0.037146764,0.035779398,0.04443938,0.022561531,0.009571559,0.028714676,0.025068368,0.009799453,0.018231541,0.015041021,,,35.9,30.4,25.5,8.2,36.04,37
C9067130191,10273046,ZB 5931,D9626010,5928SC66D,11:00:00,19:00:00,11:00:00,19:00:00,Zelfbrenger,41,BFS Baur Fulfillment Solutions [DE],MICHAEL-DECHANT-STRASSE,10,96260,WEISMAIN,DE,DEPOT VENLO,96260,DE,5928SC,VENLO,VL-PO,VEN,0,10.5,0,4.5,4.5,4.5,4.5,136,136,136,{'2022-05-23'},D108858361,{'PEU'},{'2022-05-23 15:00:00+02:00'},C9067130191,96260_MICHAEL-DECHANT-STRASSE_10_WEISMAIN_DE,50.09222115,11.24318194,152,152,10.5,4.5,260,10273046,,,96260,10,40201,0,0.032088754,0.046939131,0.033655879,0.040596005,0,0.049103256,0.033233004,0.012163877,0.03778513,0.035297629,0,0.03917813,0.04176513,0.035098629,0.029974379,0.039402005,0.031267879,0.028059004,0.025870003,0,0.047461506,0,0.033680754,0.031292754,0.039103505,0,0,0.03843188,0.03748663,0.035944379,0.04081988,0,0.039750255,0.032113629,0,0,0.032437004,,,32.3,36.6,31.1,0,57.76,0
C9796924195,10167572,1319,1327AH32M,1358CD10D,16:30:00,17:00:00,16:30:00,19:00:00,TransportBV,75,MONTAPACKING [ALMERE],VELUWEZOOM,32,1327AH,ALMERE,NL,DEPOT ALMERE,1327AH,NL,1358CD,ALMERE,ALR-WV,ALM,0,24,0,11,11,11,11,145,145,145,{'2022-05-23'},D108857350,{'RCP'},{'2022-05-23 17:15:00+02:00'},C9796924195,1327AH_VELUWEZOOM_32_ALMERE_NL,52.355804,5.2473226,144,152,24,11,413,10167572,,,1327AH,32,723096,0.01448632,0.032359465,0.03429835,0.030282286,0.034421432,0.023527996,0.027318641,0.02861999,0.009619746,0.032555843,0.02747353,0.022564086,0.030275371,0.030347284,0.024850089,0.0279949,0.028185746,0.030184097,0.02542401,0.026470897,0.004215208,0.035866607,0.019348745,0.031373428,0.028184363,0.030751104,0.01978852,0.024451802,0.027196942,0.026757166,0.026535896,0.027732141,0.023493423,0.029694536,0.032034474,0.028516269,0.030817485,0.026468131,,,27.4,30.4,22.5,19.7,38.08,6
C9405533032,4880,38118,3846BX21A,3815KP8D,20:00:00,20:30:00,20:00:00,21:30:00,TransportBV,75,ANWB RETAIL,DALTONSTRAAT,21,3846BX,HARDERWIJK,NL,DEPOT AMERSFOORT,3846BX,NL,3815KP,AMERSFOORT,AMF-WT,AME,0,48,0,48,48,48,48,165,165,165,{'2022-05-23'},D108854585,{'RCP'},{'2022-05-23 22:25:00+02:00'},C9405533032,3846BX_DALTONSTRAAT_21_HARDERWIJK_NL,52.3646934,5.6420486,158,162,48,48,1614,4880,,,3846BX,21,195381,0.206366023,0.036021926,0.046109908,0.016629048,0.049226895,0,0.031369478,0.032812812,0.013834508,0.043530333,0.032290755,0,0.037603452,0.038724339,0.041088949,0.025565434,0.035591997,0.045741398,0.0301104,0.040520829,0,0.043284659,0,0.044098454,0.027669016,0.037419196,0,0,0.032843521,0.034916394,0.031492315,0.036712884,0,0.037035331,0.039522779,0,0,0.038232991,,,30.6,40.4,29.1,0,42.36,420
C7935523101,10167572,7548,7532SM277M,7554RR1D,22:30:00,23:30:00,22:30:00,0:15:00,TransportBV,75,MONTAPACKING [ENSCHEDE-EUREGIOWEG),EUREGIOWEG,277,7532SM,ENSCHEDE,NL,DEPOT HENGELO,7532SM,NL,7554RR,HENGELO,HGL-Z,HEN,0,20,0,20,20,20,20,169,169,169,{'2022-05-23'},D108857050,{'RCP'},{'2022-05-23 23:27:00+02:00'},C7935523101,7532SM_EUREGIOWEG_277_ENSCHEDE_NL,52.2244533,6.9542829,170,173,20,20,751,10167572,,,7532SM,277,1446192,0.01448632,0.032359465,0.03429835,0.030282286,0.034421432,0.023527996,0.027318641,0.02861999,0.009619746,0.032555843,0.02747353,0.022564086,0.030275371,0.030347284,0.024850089,0.0279949,0.028185746,0.030184097,0.02542401,0.026470897,0.004215208,0.035866607,0.019348745,0.031373428,0.028184363,0.030751104,0.01978852,0.024451802,0.027196942,0.026757166,0.026535896,0.027732141,0.023493423,0.029694536,0.032034474,0.028516269,0.030817485,0.026468131,,,27.4,30.4,22.5,19.7,38.08,11
C7987586619,9774302,6148,6134AG212T,6121RE107D,15:15:00,15:45:00,15:15:00,17:00:00,TransportBV,75,M2 TRADING,RIJKSWEG ZUID,212,6134AG,SITTARD,NL,DEPOT BORN,6134AG,NL,6121RE,BORN,BORN-HN,BOR,0,10,0,2,2,2,2,140,140,140,{'2022-05-23'},D108854657,{'RCP'},{'2022-05-23 16:00:00+02:00'},C7987586619,6134AG_RIJKSWEG ZUID_212_SITTARD_NL,50.987932,5.849733,139,144,10,2,62,9774302,,,6134AG,212,18808,0.06975755,0.026797108,0.032220332,0.015206295,0.037111867,0.012547852,0.045618886,0.027222459,0.01031476,0.040089324,0.028711187,0.01637601,0.037218205,0.025521055,0.042322416,0.024989366,0.027647809,0.041578052,0.032113994,0.03370906,0.003402807,0.028392174,0.012760527,0.037856231,0.035197788,0.026052744,0.012335177,0.023713313,0.029561889,0.025308379,0.025202042,0.037643556,0.010527435,0.029774564,0.038281582,0.014355593,0.015418971,0.036899192,,,27.2,32.2,28.5,12.1,33.45,5
C7935382451,2772798,0029-MG,4332SG6U,3433KE1S,20:45:00,21:15:00,20:45:00,23:30:00,TransportBV,75,Unipharma VOF,RAMSBURGERWEG,6,4332SG,MIDDELBURG,NL,SKP NIEUWEGEIN-PELOTONSDOK,4332SG,NL,3433KE,SKP,SKP-NIWG-P,SKP,0,19,0,18,18,18,18,168,168,168,{'2022-05-23'},D108857576,{'RCP'},{'2022-05-23 23:00:00+02:00'},C7935382451,4332SG_RAMSBURGERWEG_6_MIDDELBURG_NL,51.5030264,3.632586,161,170,19,18,2375,2772798,,,4332SG,6,284190,2.46E-05,0.041581336,0.038868363,0.034695098,0.041088708,0.008891938,0.03652486,0.02878356,0.01109469,0.030493684,0.032650691,0.009187515,0.033850593,0.034673986,0.035479785,0.03377318,0.02932897,0.036672649,0.029191738,0.032868855,0.001196383,0.037985151,0.00742461,0.038315915,0.032274183,0.033850593,0.009430311,0.010566874,0.030071431,0.025324607,0.0290721,0.028987649,0.009937014,0.034396003,0.035785918,0.011618987,0.0146205,0.029441571,,,31.6,35.2,25,8.3,131.97,0
C8008934910,10307913,1104,1505HH42B,1165AA10D,17:00:00,17:30:00,17:00:00,21:00:00,TransportBV,75,BLUESPRESSO BV,VREDEWEG,42,1505HH,ZAANDAM,NL,DEPOT HALFWEG,1505HH,NL,1165AA,HALFWEG,HW-LN,HAL,0,14,0,8,8,8,8,152,152,152,{'2022-05-23'},D108856974,{'RCP'},{'2022-05-23 19:00:00+02:00'},C8008934910,1505HH_VREDEWEG_42_ZAANDAM_NL,52.4260974,4.8488315,146,160,14,8,116,10307913,,,1505HH,42,15039,0.000598444,0.035308199,0.019748654,0.103331339,0.030121684,0.016157989,0.033712348,0.021344504,0.009176142,0.016756433,0.045481747,0.016756433,0.026929982,0.010572511,0.051665669,0.053461001,0.013764213,0.012168362,0.013764213,0.015559545,0.003590664,0.032914423,0.018152803,0.028725314,0.038100938,0.049072412,0.016955915,0.02373828,0.030321165,0.015958508,0.017554359,0.015958508,0.015160582,0.026730501,0.058248554,0.019948135,0.028525833,0.014562138,,,43,19.8,21.3,15.9,14.46,0
C8185792716,10510669,1095,1507DS1F,1114AN150D,22:15:00,22:45:00,22:15:00,23:30:00,TransportBV,75,FIEGE BV,DAALDERWEG,1,1507DS,ZAANDAM,NL,DEPOT AMSTERDAM ZUIDOOST,1507DS,NL,1114AN,AMSTERDAM,ASD-JOA,AMS,0,48,0,27,27,27,27,169,169,169,{'2022-05-23'},D108856975,{'RCP'},{'2022-05-23 23:23:00+02:00'},C8185792716,1507DS_DAALDERWEG_1_ZAANDAM_NL,52.426155,4.7939511,167,170,48,27,125,10510669,,,1507DS,1,8208,0.05165692,0.032651072,0.042397661,0.039473684,0.031676413,0.016081871,0.01754386,0.052631579,0.015594542,0.033625731,0.037037037,0.015107212,0.026803119,0.02582846,0.019493177,0.049707602,0.022417154,0.027290448,0.018518519,0.019980507,0.005847953,0.067738791,0.004385965,0.038499025,0.02582846,0.022417154,0.015107212,0.011208577,0.032651072,0.056042885,0.036062378,0.018031189,0.01754386,0.026315789,0.019980507,0.013645224,0.014619883,0.030214425,,,31.1,31.9,25.7,11.4,4.87,7
C8183780596,10167572,2754,4206CL16MO,2742RJ2D,22:00:00,22:30:00,22:00:00,23:59:00,TransportBV,75,MONTAPACKING [GORINCHEM PAPLAND],PAPLAND,16,4206CL,GORINCHEM,NL,DEPOT WADDINXVEEN,4206CL,NL,2742RJ,WADDINXVEEN,WVN-O,WVN,0,24,0,13,13,13,13,168,168,168,{'2022-05-23'},D108855123,{'RCP'},{'2022-05-23 23:00:00+02:00'},C8183780596,4206CL_PAPLAND_16_GORINCHEM_NL,51.8491928,4.984177,166,171,24,13,488,10167572,,,4206CL,16,723096,0.01448632,0.032359465,0.03429835,0.030282286,0.034421432,0.023527996,0.027318641,0.02861999,0.009619746,0.032555843,0.02747353,0.022564086,0.030275371,0.030347284,0.024850089,0.0279949,0.028185746,0.030184097,0.02542401,0.026470897,0.004215208,0.035866607,0.019348745,0.031373428,0.028184363,0.030751104,0.01978852,0.024451802,0.027196942,0.026757166,0.026535896,0.027732141,0.023493423,0.029694536,0.032034474,0.028516269,0.030817485,0.026468131,,,27.4,30.4,22.5,19.7,38.08,7
C7568105987,10273742,BEL 2835-OML,B3580BER15,6121RE107D,19:00:00,19:30:00,19:00:00,21:00:00,TransportBV,90,EURO SHOE UNIE iz BRISTOL [BERINGEN] [BE],LOCHTENMAWEG,15,3580,BERINGEN ZUID ZONE 2,BE,DEPOT BORN,3580,BE,6121RE,BORN,BORN-HN,BOR,0,35,0,19,19,19,19,156,156,156,{'2022-05-23'},D108857887,{'RCP'},{'2022-05-23 20:14:00+02:00'},C7568105987,3580_LOCHTENMAWEG_15_BERINGEN ZUID ZONE 2_BE,51.0495,5.2261,154,160,35,19,1624,10273742,,,3580,15,47767,4.19E-05,0.016915444,0.03025101,0.010948982,0.029853246,0.036971131,0.038185358,0.033642473,0.011283941,0.026336174,0.024619507,0.033705278,0.030879059,0.020662801,0.023593694,0.020139427,0.021479264,0.023551824,0.021332719,0.024138003,0.029853246,0.024410158,0.029476417,0.030669709,0.025666255,0.025896539,0.025038206,0.046705885,0.020641866,0.01871585,0.019448573,0.023091255,0.03489857,0.028659954,0.01609898,0.040718488,0.048338811,0.033181904,,,21.3,24.6,21.5,32.6,85.5,0
