,AAR nummer,Gecombineerde order,Customerorder nummer,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,RR code laden,Laden van,Laden tot,Operator,Logistieke service,Lospartij huidig,Lospartij voorstel,Gepland lossen van huidig,Gepland lossen tot huidig,Median lostijd huidig gerealiseerd,Lostijd voorstel,#RCP equiv georderd,#RCP equiv gerealiseerd (max),Vulgraad,#Pakketten gerealiseerd (max),#Pakketten_NMG,Transporthulpmiddeltype,Collectiedag,Dagen uitgevoerd,%WEST,%OOST,%ZUID,%BE,huidig=voorstel
950,4404,,C9187339755,BLECKMANN [BERGEN OP ZOOM],LEEGHWATERWEG,4,4612RD,BERGEN OP ZOOM,NL,4612RD4B,18:00:00,19:00:00,TransportBV,75.0,DEPOT GOES,DEPOT DORDRECHT,18:00:00,21:00:00,19:45:00,19:30:00,10.5,7.5,42.65,312.0,8.0,{'PWG'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
951,353-ND,,C9186244765,CENTRAAL BOEKHUIS,ERASMUSWEG,10,4104AK,CULEMBORG,NL,4104AK10C,00:45:00,01:15:00,TransportBV,75.0,DEPOT ALMERE,DEPOT ALMERE,00:45:00,02:20:00,02:30:00,02:00:00,36.0,26.71,31.02,808.0,20.0,{'RCP'},Maandag,{'2022-05-24'},29.4,32.0,24.4,14.2,True
952,5689,,C9186219760,ROGON PRODUCTS B.V.,HAVERDIJK,8,5704RC,HELMOND,NL,5704RC8R,16:30:00,17:00:00,TransportBV,75.0,DEPOT SON,DEPOT SON,16:30:00,21:00:00,17:45:00,17:30:00,25.0,25.0,20.51,500.0,13.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
953,101035,,C9281089636,Amsterdam-SCB-Buba,AUSTRALIEHAVENWEG,100,1046BP,AMSTERDAM,NL,ASD-SCB-BUBA,19:00:00,20:30:00,TransportBV,71.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT AMSTERDAM ZUIDOOST,19:00:00,21:00:00,20:30:00,20:45:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
954,2753,,C9352865177,VRIJBUITER GOUDA,KAMPENRINGWEG,20,2803PE,GOUDA,NL,2803PE20V,20:30:00,21:00:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,20:30:00,22:00:00,21:15:00,21:00:00,20.0,9.5,24.29,225.0,6.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
955,1770 WL,,C9355515756,AGU,KORAALSTRAAT,1,1812RK,ALKMAAR,NL,1812RK1A,21:15:00,21:45:00,TransportBV,75.0,DEPOT OPMEER,DEPOT AMSTERDAM ZUIDOOST,21:15:00,22:30:00,22:30:00,22:15:00,48.0,26.0,29.54,749.0,19.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
956,767528,,C9365221752,Almelo-Aalderinksingel (OVP),AALDERINKSSINGEL,8,7604EG,ALMELO,NL,AML-A,18:15:00,18:45:00,TransportBV,71.0,DEPOT HENGELO,DEPOT APELDOORN,18:15:00,19:30:00,19:15:00,19:30:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
957,8080-Combi 2,396,C9298001629,Permepa (Oosterbracht 2),OOSTERBRACHT,2,7821CJ,EMMEN,NL,7821CJ2P,16:00:00,17:00:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ZWOLLE,16:00:00,18:00:00,18:00:00,18:30:00,24.0,18.0,3.95,69.0,2.0,{'PEU'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
958,707329,,C9321298035,Doetinchem-Expeditieweg (OVP),EXPEDITIEWEG,7,7007CM,DOETINCHEM,NL,DTC-EW-OVP,18:30:00,19:00:00,TransportBV,71.0,DEPOT APELDOORN,DEPOT ELST,18:30:00,20:00:00,19:30:00,19:30:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
959,66104,459,C9316206258,RUTJES KAPPERSGROOTHANDEL BV,INFORMATICAWEG,5,7007CP,DOETINCHEM,NL,7007CP5R,21:45:00,22:15:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,21:45:00,23:30:00,23:30:00,23:30:00,2.0,2.0,70.04,137.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
960,1077,891,C9141882763,BTB B.V.,PILOTENSTRAAT,34,1059CJ,AMSTERDAM,NL,1059CJ34B,16:30:00,17:00:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT AMSTERDAM ZUIDOOST,16:30:00,21:00:00,18:15:00,17:30:00,2.0,1.0,66.16,65.0,2.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
961,1802,,C8967518868,WIJ ZIJN UW SPECIALIST B.V.,WESTRAK,208,1771SV,WIERINGERWERF,NL,1771SV208W,21:30:00,22:00:00,TransportBV,75.0,DEPOT OPMEER,DEPOT AMSTERDAM ZUIDOOST,21:30:00,23:00:00,22:15:00,22:45:00,30.0,9.0,12.13,106.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
962,161703,,C8954884307,Zwaag-De Oude Veiling (OVP),DE OUDE VEILING,24,1689AA,ZWAAG,NL,ZW-OV-OVP,18:30:00,19:00:00,TransportBV,71.0,DEPOT OPMEER,DEPOT OPMEER,18:30:00,19:30:00,19:30:00,19:00:00,48.0,37.71,27.0,993.0,25.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
963,RC mail 1 TB-LE,,C9002542378,DEPOT TILBURG,LEDEBOERSTRAAT,82,5048AD,TILBURG,NL,TB-LE,20:00:00,20:30:00,Overig,61.0,DEPOT TILBURG,DEPOT TILBURG,20:00:00,22:00:00,19:30:00,20:30:00,0.86,0.86,27.0,23.0,1.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
964,RC mail 6 ELT-N,,C8983470667,DEPOT ELST,NIJVERHEIDSWEG,2,6662NG,ELST GLD,NL,ELT-N,20:00:00,20:30:00,Overig,61.0,DEPOT ELST,DEPOT ELST,20:00:00,22:00:00,19:45:00,20:30:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
965,5202,846,C8975380001,DE BADENMAN B.V.,VAN HARENSTRAAT,1,5145RH,WAALWIJK,NL,5145RH1BA,20:30:00,21:00:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,20:30:00,22:30:00,20:45:00,21:30:00,7.0,1.44,18.2,26.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
966,RTL 788001,,C8880035168,Emmen-Nijbracht 35,NIJBRACHT,35,7821CB,EMMEN,NL,EMN-NT,17:15:00,17:45:00,TransportBV,61.0,DEPOT ZWOLLE,DEPOT ZWOLLE,17:15:00,19:00:00,19:15:00,18:45:00,38.0,22.0,27.0,579.0,15.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
967,343433,,C8867963811,Nieuwegein-SCB-Buba,GROTE WADE,80,3439NT,NIEUWEGEIN,NL,NWG-SCB-BUBA,19:30:00,20:00:00,TransportBV,71.0,DEPOT NIEUWEGEIN,DEPOT NIEUWEGEIN,19:30:00,20:30:00,20:00:00,20:00:00,48.0,35.14,27.0,925.0,23.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
968,3810,,C8856056100,ELISE STORE,SILICIUMWEG,59,3812SW,AMERSFOORT,NL,3812SW59E,22:45:00,23:15:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,22:45:00,00:15:00,00:30:00,23:15:00,3.0,3.0,47.6,139.0,4.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
969, 56163,138,C8927372914,Dartshopper B.V.,EKKERSRIJT,4304,5692DH,SON EN BREUGEL,NL,5692DH304D,22:00:00,23:00:00,TransportBV,75.0,DEPOT SON,DEPOT SON,22:00:00,23:45:00,23:00:00,23:00:00,15.0,12.0,81.49,954.0,24.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
970,6100,,C8888755196,SOMULTISHOP inz DM PRODUCTIONS [ECHT],DAALWEG,5,6102TD,ECHT,NL,6102TD5S,17:15:00,17:45:00,TransportBV,75.0,DEPOT BORN,DEPOT BORN,17:15:00,18:30:00,17:45:00,17:45:00,48.0,20.0,30.0,585.0,15.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
971,2746 WL,,C9106579204,MEDIQ [BLEISWIJK],BRANDPUNTLAAN ZUID,14,2665NZ,BLEISWIJK,NL,2665NZ14M,15:00:00,15:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,15:00:00,16:30:00,16:30:00,15:30:00,48.0,48.0,28.55,1337.0,34.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
972,BEL 2822,901,C9095782959,Make Your Own Spirit BVBA,INDUSTRIEPARK,13,9031,DRONGEN,BE,B9031DR13,17:00:00,18:00:00,TransportBV,90.0,DEPOT WILLEBROEK (B),DEPOT WILLEBROEK,17:00:00,21:00:00,19:30:00,19:45:00,2.0,2.0,30.0,59.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
973,27055,,C9091227095,IMEC,LOIRE,1,2491AN,'S-GRAVENHAGE,NL,IMEC,19:00:00,19:30:00,TransportBV,44.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,19:00:00,20:30:00,20:15:00,19:45:00,48.0,48.0,30.0,1404.0,36.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
974,1103,925,C9133727665,LAMP 123.NL,OUDE SPAARNEWEG,6,2142EA,CRUQUIUS,NL,2142EA6L,21:30:00,22:00:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,21:30:00,23:00:00,22:15:00,22:45:00,12.0,3.0,47.07,138.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
975,48108,435,C9132319578,QLS FULFILMENT B.V. [KERKEPLAAT],KERKEPLAAT,11,3313LC,DORDRECHT,NL,3313LC11Q,20:30:00,21:00:00,TransportBV,75.0,DEPOT BREDA,DEPOT RIDDERKERK,20:30:00,22:30:00,21:45:00,21:45:00,35.0,35.0,63.44,2166.0,55.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
976,353-ZD,,C9131376929,CENTRAAL BOEKHUIS,ERASMUSWEG,10,4104AK,CULEMBORG,NL,4104AK10C,00:45:00,01:15:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,00:45:00,02:30:00,02:15:00,02:00:00,36.0,36.0,31.02,1089.0,28.0,{'RCP'},Maandag,{'2022-05-24'},29.4,32.0,24.4,14.2,True
977,2790,,C9046033159,HomeQuality B.V.,SONARSTRAAT,8,2901AX,CAPELLE AAN DEN IJSSEL,NL,2901AX8H,22:00:00,22:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT RIDDERKERK,22:00:00,23:30:00,23:30:00,22:30:00,3.0,2.0,65.6,128.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
978,302934,,C9034911959,Rotterdam-SCB-Buba,TERBREGSEWEG,300,3062CZ,ROTTERDAM,NL,RT-SCB-BUBA,19:45:00,20:15:00,TransportBV,71.0,DEPOT RIDDERKERK,DEPOT WADDINXVEEN,19:45:00,21:00:00,20:45:00,20:30:00,48.0,47.36,27.0,1247.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
979, 1778,,C9784913266,NIC OUD [HEERHUGOWAARD],NEWTONSTRAAT,46,1704SB,HEERHUGOWAARD,NL,1704SB46N,18:00:00,18:30:00,TransportBV,75.0,DEPOT OPMEER,DEPOT AMSTERDAM ZUIDOOST,18:00:00,21:00:00,19:30:00,19:15:00,24.0,21.43,27.78,581.0,15.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
980,3880,,C9793263943,Medz Europe B.V.,WIEKENWEG,41,3815KL,AMERSFOORT,NL,3815KL41M,16:30:00,17:00:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,16:30:00,21:00:00,18:00:00,17:00:00,2.57,2.57,30.0,75.0,2.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
981,56153,866,C9773141744,FS TRADING,STOKSKESWEG,15,5571TJ,BERGEIJK,NL,5571TJ15F,15:00:00,17:00:00,TransportBV,75.0,DEPOT SON,DEPOT SON,15:00:00,21:00:00,16:45:00,16:30:00,2.0,2.0,30.0,59.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
982,6628,,C9799244045,OLIEVOORDEELSHOP.NL BV,EINSTEINWEG,11,6662PW,ELST GLD,NL,6662PW11O,16:00:00,16:30:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,16:00:00,20:00:00,16:15:00,16:30:00,6.0,2.0,30.0,59.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
983,1050,,C9816918774,AFS Postshop,KONINGIN WILHELMINAPLEIN,17,1062HJ,AMSTERDAM,NL,1062HJ17P,15:45:00,16:15:00,TransportBV,75.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT AMSTERDAM ZUIDOOST,15:45:00,19:00:00,15:45:00,16:15:00,24.0,24.0,16.27,381.0,10.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
984,979612,,C9700572650,Groningen-Bornholmstraat (OVP),BORNHOLMSTRAAT,62,9723AZ,GRONINGEN,NL,GN-B-OVP,18:45:00,19:15:00,TransportBV,71.0,DEPOT KOLHAM,DEPOT LEEUWARDEN,18:45:00,19:35:00,19:45:00,20:00:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
985,8007,,C9696459297,RHODOS,WARMTEKRACHTSTRAAT,4,8094SE,HATTEMERBROEK,NL,8094SE4R,16:00:00,16:30:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ZWOLLE,16:00:00,21:00:00,17:30:00,16:30:00,4.0,4.0,20.21,79.0,2.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
986,96v48,203,C9676318327,DROGINET,INDUSTRIWEG,15,9672AP,WINSCHOTEN,NL,9672AP15D,18:00:00,18:30:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,18:00:00,19:15:00,19:00:00,18:45:00,10.0,9.0,73.05,641.0,16.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
987,5967,858,C9753253315,GOOSSENS WONEN EN SLAPEN,DOORNHOEK,3865,5465TB,VEGHEL,NL,5465TB865G,19:00:00,19:30:00,TransportBV,75.0,DEPOT VENLO,DEPOT SON,19:00:00,21:00:00,20:45:00,20:45:00,22.77,22.77,5.36,119.0,3.0,"{'PBL', 'RCP'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
988,302706,,C9745790217,Rotterdam-SCB-Buba,TERBREGSEWEG,300,3062CZ,ROTTERDAM,NL,RT-SCB-BUBA,17:15:00,17:45:00,TransportBV,71.0,DEPOT WADDINXVEEN,DEPOT DORDRECHT,17:15:00,18:25:00,18:30:00,18:00:00,48.0,46.0,27.0,1211.0,31.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
989,6616,318,C9731267617,ECARE REVERSE LOGISTICS iz COOLBLUE,STENOGRAAF,2,6921EX,DUIVEN,NL,6921EX2E,16:00:00,16:30:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,16:00:00,20:00:00,18:00:00,17:00:00,10.0,3.0,30.0,88.0,2.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
990,M 5974 V,,C9724783844,CEVA LOGISTICS VENRAY iz PHILLIPS,EDISONSTRAAT,2 - 6,5807GG,OOSTRUM LB,NL,5807GG2C,21:30:00,22:30:00,TransportBV,75.0,DEPOT VENLO,DEPOT SON,21:30:00,23:30:00,22:45:00,23:15:00,36.0,19.5,40.55,771.0,19.0,{'PEU'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
991,RTL 131101,,C9932781535,Business Point Van der Wal,BINNENDELTA,1,1261WZ,BLARICUM,NL,BRC-BD,18:00:00,18:30:00,TransportBV,61.0,DEPOT ALMERE,DEPOT ALMERE,18:00:00,19:15:00,19:15:00,18:30:00,25.71,12.86,27.0,339.0,9.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
992,9683,848,C9989173394,DORTLAND EN VAN BEEM [GRONINGEN],OSLOWEG,132,9723BX,GRONINGEN,NL,9723BX132D,16:00:00,16:30:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,16:00:00,21:00:00,18:30:00,17:45:00,2.0,1.0,294.37,287.0,7.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
993,303307,,C9957124417,Rotterdam-Giessenweg,GIESSENWEG,34,3044AL,ROTTTERDAM,NL,RT-GSW,15:45:00,16:15:00,TransportBV,71.0,DEPOT DORDRECHT,DEPOT DORDRECHT,15:45:00,17:00:00,17:45:00,16:30:00,48.0,46.71,27.0,1230.0,31.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
994,677325,,C9863432920,Ede-Morsestraat (OVP),MORSESTRAAT,26,6716AH,EDE GLD,NL,ED-MO,17:30:00,18:00:00,TransportBV,71.0,DEPOT APELDOORN,DEPOT NIEUWEGEIN,17:30:00,18:45:00,18:45:00,18:30:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
995,48129,,C9845282184,THE STING,LIZZY VAN DORPWEG,1,5032MR,TILBURG,NL,5032MR1S,19:30:00,20:00:00,TransportBV,75.0,DEPOT BREDA,DEPOT TILBURG,19:30:00,21:15:00,20:00:00,20:00:00,10.0,2.0,88.9,173.0,4.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
996,282716XL,,C9902099807,Waddinxveen-Coenecoop,COENECOOP,745,2741PW,WADDINXVEEN,NL,WVN-CNC,19:30:00,20:15:00,TransportBV,71.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,19:30:00,20:30:00,20:45:00,20:15:00,48.0,36.29,27.0,956.0,24.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
997,707334,,C9669586797,Doetinchem-Expeditieweg (OVP),EXPEDITIEWEG,7,7007CM,DOETINCHEM,NL,DTC-EW-OVP,19:45:00,20:15:00,TransportBV,71.0,DEPOT APELDOORN,DEPOT ELST,19:45:00,21:30:00,20:30:00,20:45:00,48.0,47.14,27.0,1241.0,31.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
998,RTL 616101,675,C9466574633,Sittard-Tunnelstraat,TUNNELSTRAAT,91,6135BS,SITTARD,NL,STD-TU,17:15:00,17:45:00,TransportBV,61.0,DEPOT BORN,DEPOT BORN,17:15:00,19:30:00,19:00:00,18:45:00,28.0,9.0,27.0,237.0,6.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
999,798012,,C9463923372,Hoogeveen-Voltastraat,VOLTASTRAAT,24,7903AB,HOOGEVEEN,NL,HGV-VS,19:30:00,20:00:00,TransportBV,71.0,DEPOT ZWOLLE,DEPOT ZWOLLE,19:30:00,21:00:00,20:45:00,20:30:00,24.0,12.86,27.0,339.0,9.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1000,9610,445,C9463296687,TOOLTOPPER,SIKKEL,12,9932BD,DELFZIJL,NL,9932BD12T,16:30:00,17:00:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,16:30:00,21:00:00,18:00:00,18:15:00,5.0,3.0,39.08,114.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1001,798015,,C9461073683,Hoogeveen-Voltastraat,VOLTASTRAAT,24,7903AB,HOOGEVEEN,NL,HGV-VS,19:20:00,19:50:00,TransportBV,71.0,DEPOT ZWOLLE,DEPOT ZWOLLE,19:20:00,20:50:00,20:45:00,20:30:00,48.0,45.57,27.0,1200.0,30.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1002,RTL 131301,,C9510435854,Almere-Markerkant 12,MARKERKANT,3,1314AJ,ALMERE,NL,ALR-MRK,18:30:00,19:00:00,TransportBV,61.0,DEPOT ALMERE,DEPOT ALMERE,18:30:00,19:30:00,19:45:00,19:15:00,24.0,13.0,27.0,342.0,9.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1003,757512,,C9495781569,Enschede-Rigtersbleek Westend,RIGTERSBLEEK-WESTEND,1,7521RC,ENSCHEDE,NL,ES-R,19:30:00,20:00:00,TransportBV,71.0,DEPOT HENGELO,DEPOT HENGELO,19:30:00,20:30:00,20:15:00,20:00:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1004, 96v84,,C9485631977,EDC INTERNET,PHOENIXWEG,6,9641KS,VEENDAM,NL,9641KS6E,20:00:00,20:30:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,20:00:00,21:00:00,20:15:00,20:45:00,30.0,24.0,79.54,1862.0,47.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1005,979615,,C9405433795,Groningen-Bornholmstraat (OVP),BORNHOLMSTRAAT,62,9723AZ,GRONINGEN,NL,GN-B-OVP,19:30:00,20:00:00,TransportBV,71.0,DEPOT KOLHAM,DEPOT KOLHAM,19:30:00,20:30:00,20:15:00,20:00:00,48.0,26.57,27.0,700.0,18.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1006,898915,,C9398790144,Leeuwarden-James Wattstraat (OVP),JAMES WATTSTRAAT,5,8912AS,LEEUWARDEN,NL,LWD-ZW-OVP,19:35:00,20:05:00,TransportBV,71.0,DEPOT LEEUWARDEN,DEPOT LEEUWARDEN,19:35:00,20:20:00,20:00:00,20:00:00,48.0,33.29,27.0,877.0,22.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1007,RTL 41102,581,C9394667821,Uithoorn-Ondernemingswg,ONDERNEMINGSWEG,56,1422DZ,UITHOORN,NL,UH-OW,17:00:00,18:00:00,TransportBV,61.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT UTRECHT,17:00:00,19:00:00,18:15:00,18:30:00,26.0,21.0,27.0,553.0,14.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1008,2778,,C9383242727,H.B.M.,GROTE ESCH,1010,2841MJ,MOORDRECHT,NL,2841MJ010H,16:00:00,16:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,16:00:00,21:00:00,15:45:00,16:30:00,48.0,45.0,21.11,927.0,23.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1009,484833,,C9439970022,Breda-Slingerweg,SLINGERWEG,7,4814AZ,BREDA,NL,BD-SLN,19:30:00,20:00:00,TransportBV,71.0,DEPOT BREDA,DEPOT DORDRECHT,19:30:00,20:15:00,20:15:00,20:15:00,48.0,27.43,27.0,722.0,18.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1010, 7561,738,C9413046285,KEIZERS HAAKSBERGEN BV,HENGELOSESTRAAT,14,7482AC,HAAKSBERGEN,NL,7482AC14K,20:00:00,20:30:00,TransportBV,75.0,DEPOT HENGELO,DEPOT HENGELO,20:00:00,21:45:00,20:30:00,20:30:00,6.0,4.0,15.78,62.0,2.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1011,222117,,C9434095946,Katwijk-Katwijkerbroek,KATWIJKERBROEK,51,2223XN,KATWIJK,NL,KZH-KTW,15:30:00,16:00:00,TransportBV,71.0,DEPOT SASSENHEIM,DEPOT UTRECHT,15:30:00,16:30:00,16:15:00,17:00:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1012,RC mail 1 AP-OAW,,C9417704670,DEPOT APELDOORN,OUDE APELDOORNSEWEG,35,7333NR,APELDOORN,NL,AP-OAW,20:00:00,20:30:00,Overig,61.0,DEPOT APELDOORN,DEPOT APELDOORN,20:00:00,22:00:00,20:00:00,20:30:00,0.86,0.86,27.0,23.0,1.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1013,5054,139,C9606143052,TOQ bv,DE KROONSTRAAT,44,5048AP,TILBURG,NL,5048AP44T,16:00:00,17:00:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,16:00:00,18:00:00,14:45:00,17:00:00,20.0,15.0,8.14,119.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1014,767508 XL,,C9665889052,Almelo-Aalderinksingel,AALDERINKSSINGEL,8,7604EG,ALMELO,NL,AML-A,17:30:00,18:15:00,TransportBV,71.0,DEPOT HENGELO,DEPOT APELDOORN,17:30:00,18:45:00,18:45:00,19:00:00,48.0,47.71,27.0,1256.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1015,3343,411,C9631632710,DOUCHECONCURRENT SCHIEDAM BV,HOFWEG,13,3208LE,SPIJKENISSE,NL,3208LE13D,17:30:00,18:00:00,TransportBV,75.0,DEPOT DORDRECHT,DEPOT RIDDERKERK,17:30:00,21:00:00,18:30:00,18:15:00,5.0,1.0,19.5,19.0,0.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1016,RC mail ALR-WV,,C9587661403,DEPOT ALMERE,WITTEVROUWEN,10,1358CD,ALMERE,NL,ALR-WV,20:00:00,20:30:00,Overig,61.0,DEPOT ALMERE,DEPOT ALMERE,20:00:00,22:00:00,16:00:00,20:30:00,0.86,0.86,27.0,23.0,1.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1017,48114,268,C9582202206,RESTOCKS B.V.,VELDSTEEN,19,4815PK,BREDA,NL,4815PK19R,16:30:00,17:00:00,TransportBV,75.0,DEPOT BREDA,DEPOT BREDA,16:30:00,21:00:00,16:30:00,17:00:00,20.0,2.0,62.02,121.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1018,2109,352,C9573442032,WEAF,ENERGIEWEG,39,2404HE,ALPHEN AAN DEN RIJN,NL,2404HE39W,22:30:00,23:00:00,TransportBV,75.0,DEPOT SASSENHEIM,DEPOT WADDINXVEEN,22:30:00,00:00:00,23:15:00,23:30:00,19.5,13.0,44.36,562.0,14.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
